object_id,ra,decl,ddf_bool,hostgal_specz,hostgal_photoz,hostgal_photoz_err,distmod,mwebv,target,true_target,true_submodel,true_z,true_distmod,true_lensdmu,true_vpec,true_rv,true_av,true_peakmjd,libid_cadence,tflux_u,tflux_g,tflux_r,tflux_i,tflux_z,tflux_y
      2072,   0.9657, -46.3751,1, 0.152, 0.190, 0.010,39.832, 0.007,90, 90,1,0.150,39.268, 0.004,  336.9, 0.00, 0.000,59652.648,    96,0.,0.,0.,0.,0.,0.
      2103, 346.5000, -62.3204,1, 0.170, 0.541, 0.228,42.467, 0.020,42, 42,2,0.171,39.572, 0.005, -443.4, 0.00, 0.000,60220.684,    75,0.,0.,0.,0.,0.,0.
      2300, 359.4467, -44.2015,1, 0.236, 2.747, 0.534,46.796, 0.010,42, 42,1,0.233,40.335,-0.011,  209.0, 0.00, 0.000,59582.930,    13,0.,0.,0.,0.,0.,0.
      2330, 359.8052, -46.7685,1, 0.454, 0.574, 0.283,42.621, 0.011,90, 90,1,0.454,42.011,-0.005, -104.3, 0.00, 0.000,60385.449,   119,0.,0.,0.,0.,0.,0.
      2624, 346.6552, -63.2605,1, 0.000, 0.000, 0.000,-9.000, 0.019,65, 65,1,0.000, 0.000, 0.000,    0.0, 0.00, 0.000,59570.000,    17,     56.4,    441.7,   1520.8,   7549.5,  16540.2,  27756.7
      2677,  53.9648, -28.6310,1, 0.000, 0.000, 0.000,-9.000, 0.009,16, 16,1,0.000, 0.000, 0.000,    0.0, 0.00, 0.000,59570.000,   121,    169.8,   2841.8,   4410.2,   4036.8,   2970.1,   1363.7
      2922, 352.3987, -62.6967,1, 0.154, 0.147, 0.009,39.217, 0.020,67, 67,1,0.153,39.311,-0.008,  120.9, 0.00, 0.000,60116.340,   131,0.,0.,0.,0.,0.,0.
      3041, 346.1301, -63.0726,1, 0.107, 0.127, 0.020,38.880, 0.020,67, 67,1,0.109,38.506,-0.007, -423.9, 0.00, 0.000,60387.473,    14,0.,0.,0.,0.,0.,0.
      3285, 150.8203,   1.6415,1, 0.161, 0.182, 0.008,39.726, 0.020,42, 42,2,0.162,39.448,-0.005,  257.6, 0.00, 0.000,60403.363,    60,0.,0.,0.,0.,0.,0.
      3423, 349.6154, -63.6360,1, 1.988, 1.121, 0.159,44.408, 0.018,95, 95,1,1.985,45.939, 0.052,  426.0, 3.10, 0.056,59970.930,    81,0.,0.,0.,0.,0.,0.
      3489, 150.1172,   2.8361,1, 1.133, 1.438, 0.217,45.075, 0.016,88, 88,1,1.135,44.439, 0.000,    0.0, 0.00, 0.000,59570.000,   106,     39.6,     41.2,     47.9,     46.2,     43.2,     49.8
      3910,   0.5895, -47.1613,1, 0.197, 2.677, 0.593,46.727, 0.009,62, 62,2,0.195,39.904,-0.006,  453.3, 3.10, 0.062,60545.609,    10,0.,0.,0.,0.,0.,0.
      4088,   0.9657, -46.3751,1, 0.483, 0.464, 0.032,42.069, 0.007,88, 88,1,0.482,42.169, 0.000,    0.0, 0.00, 0.000,59570.000,    96,    174.7,    190.5,    182.7,    222.2,    239.6,    376.7
      4132, 359.8117, -45.1916,1, 0.056, 0.056, 0.030,36.975, 0.010,42, 42,2,0.055,36.967,-0.000,  112.6, 0.00, 0.000,59613.430,   105,0.,0.,0.,0.,0.,0.
      4171,   2.0975, -45.7840,1, 0.000, 0.000, 0.000,-9.000, 0.011,16, 16,1,0.000, 0.000, 0.000,    0.0, 0.00, 0.000,59570.000,    24,     24.3,    269.7,    314.2,    240.7,    158.9,     67.9
      4173, 152.0508,   3.2844,1, 0.515, 0.551, 0.022,42.516, 0.019,15, 15,1,0.519,42.352, 0.018, -436.7, 3.10, 0.090,59908.965,    94,0.,0.,0.,0.,0.,0.
      4220, 358.6481, -46.3751,1, 0.120, 0.132, 0.335,38.968, 0.009,42, 42,2,0.119,38.717,-0.003,  256.5, 0.00, 0.000,60206.613,   117,0.,0.,0.,0.,0.,0.
      4389, 151.6992,   3.5833,1, 0.233, 0.221, 0.967,40.194, 0.016,90, 90,1,0.234,40.337,-0.008,  223.8, 0.00, 0.000,60277.695,    64,0.,0.,0.,0.,0.,0.
      4595, 349.6154, -63.6360,1, 0.592, 0.600, 0.013,42.737, 0.018,90, 90,1,0.592,42.703,-0.002,  -72.1, 0.00, 0.000,60218.465,    81,0.,0.,0.,0.,0.,0.
      4819,  35.3320,  -5.9792,1, 0.305, 0.287, 0.008,40.845, 0.022,90, 90,1,0.303,40.985,-0.049,  353.8, 0.00, 0.000,60558.340,    61,0.,0.,0.,0.,0.,0.
      5527, 347.8618, -61.9438,1, 0.132, 0.249, 0.860,40.490, 0.017,42, 42,3,0.131,38.955, 0.002,  183.7, 3.10, 0.097,59909.363,    84,0.,0.,0.,0.,0.,0.
      6180,  33.2227,  -4.7802,1, 0.320, 0.269, 0.521,40.679, 0.018,90, 90,1,0.318,41.108,-0.009,  220.8, 0.00, 0.000,60213.172,    91,0.,0.,0.,0.,0.,0.
      6266,   0.9298, -44.5980,1, 0.000, 0.000, 0.000,-9.000, 0.011,65, 65,1,0.000, 0.000, 0.000,    0.0, 0.00, 0.000,59570.000,    65,      3.5,     33.5,     95.5,    350.2,    603.1,    773.0
      6762, 348.5959, -63.0726,1, 0.386, 0.398, 0.013,41.674, 0.021,90, 90,1,0.387,41.601,-0.012, -265.9, 0.00, 0.000,60071.832,    93,0.,0.,0.,0.,0.,0.
      6947,  34.2773,  -5.6792,1, 0.568, 0.567, 0.018,42.589, 0.020,90, 90,1,0.567,42.593,-0.009,  178.3, 0.00, 0.000,59939.832,    90,0.,0.,0.,0.,0.,0.
      7033,  52.2070, -28.2916,1, 0.083, 0.085, 0.007,37.941, 0.007,42, 42,1,0.081,37.835,-0.004,   81.9, 0.00, 0.000,60630.609,    87,0.,0.,0.,0.,0.,0.
      7164, 347.8618, -61.9438,1, 0.430, 0.424, 0.029,41.837, 0.017,90, 90,1,0.431,41.877,-0.000,  -49.5, 0.00, 0.000,59754.406,    84,0.,0.,0.,0.,0.,0.
      7315,   2.0711, -45.1916,1, 0.133, 0.134, 0.017,38.994, 0.011,88, 88,1,0.132,38.969, 0.000,    0.0, 0.00, 0.000,59570.000,    70,   4815.0,   5077.3,   6473.4,  10043.0,  10352.3,  11928.5
      7409, 352.3987, -62.6967,1, 3.445, 0.518, 1.261,42.352, 0.020,88, 88,1,3.443,47.386, 0.000,    0.0, 0.00, 0.000,59570.000,   131,     37.3,    267.9,    450.9,    502.5,    553.4,    530.6
      7566, 359.4467, -44.2015,1, 0.000, 0.000, 0.000,-9.000, 0.010,16, 16,1,0.000, 0.000, 0.000,    0.0, 0.00, 0.000,59570.000,    13,     25.0,    278.6,    324.8,    248.9,    164.4,     70.2
      7698, 347.0134, -62.5086,1, 0.263, 0.188, 0.022,39.801, 0.018,90, 90,1,0.261,40.610, 0.002,  112.3, 0.00, 0.000,59590.891,    40,0.,0.,0.,0.,0.,0.
      7703,  53.0859, -28.1222,1, 0.083, 0.082, 0.226,37.857, 0.007,62, 62,1,0.082,37.859, 0.000,   10.3, 0.00, 0.000,60161.738,     2,0.,0.,0.,0.,0.,0.
      7756, 149.4141,   2.2387,1, 0.000, 0.000, 0.000,-9.000, 0.017,16, 16,1,0.000, 0.000, 0.000,    0.0, 0.00, 0.000,59570.000,     0,    242.3,   2044.2,   1956.0,   1332.3,    820.1,    334.3
      8328,   1.6946, -45.1916,1, 0.378, 0.481, 0.297,42.159, 0.011,90, 90,1,0.378,41.539,-0.009, -397.5, 0.00, 0.000,60277.832,   109,0.,0.,0.,0.,0.,0.
      8688,  32.6953,  -4.9299,1, 0.000, 0.000, 0.000,-9.000, 0.018,65, 65,1,0.000, 0.000, 0.000,    0.0, 0.00, 0.000,59570.000,     4,     26.8,    207.4,    712.1,   3531.1,   7730.7,  12968.6
      8745, 349.9662, -62.6967,1, 0.628, 0.614, 0.013,42.798, 0.021,90, 90,1,0.626,42.855,-0.008,  473.3, 0.00, 0.000,60263.887,    39,0.,0.,0.,0.,0.,0.
      8784,  34.1016,  -5.8292,1, 0.000, 0.000, 0.000,-9.000, 0.019,16, 16,1,0.000, 0.000, 0.000,    0.0, 0.00, 0.000,59570.000,    21,   7462.6,  82741.2,  96178.3,  73582.1,  48567.2,  20736.6
      9006,  34.2773,  -5.0797,1, 0.000, 0.000, 0.000,-9.000, 0.019,65, 65,1,0.000, 0.000, 0.000,    0.0, 0.00, 0.000,59570.000,    23,      6.6,     42.4,    113.8,    757.8,   1782.3,   3034.3
      9172, 346.6552, -63.2605,1, 0.000, 0.000, 0.000,-9.000, 0.019,65, 65,1,0.000, 0.000, 0.000,    0.0, 0.00, 0.000,59570.000,    17,      1.0,      6.5,     17.6,    117.2,    275.8,    469.6
      9184,   0.9494, -45.5867,1, 1.403, 1.272, 0.497,44.746, 0.013,88, 88,1,1.401,45.008, 0.000,    0.0, 0.00, 0.000,59570.000,    41,   1509.9,   1591.3,   2015.8,   2121.6,   2139.8,   2071.1
      9203,  51.8555, -27.9532,1, 0.214, 0.111, 0.063,38.559, 0.008,90, 90,1,0.213,40.109,-0.002,    0.1, 0.00, 0.000,60261.113,    35,0.,0.,0.,0.,0.,0.
      9543, 352.1329, -63.6360,1, 0.000, 0.000, 0.000,-9.000, 0.021,65, 65,1,0.000, 0.000, 0.000,    0.0, 0.00, 0.000,59570.000,    80,      7.9,     39.5,    106.9,    809.0,   2129.4,   3994.6
      9936,  32.8711,  -4.7802,1, 0.163, 0.072, 0.039,37.558, 0.017,42, 42,2,0.163,39.468,-0.005,  278.7, 0.00, 0.000,59699.324,    31,0.,0.,0.,0.,0.,0.
      9985, 150.8203,   3.7328,1, 0.000, 0.000, 0.000,-9.000, 0.016,65, 65,1,0.000, 0.000, 0.000,    0.0, 0.00, 0.000,59570.000,    43,     21.8,    159.1,    542.0,   2680.0,   5863.9,   9833.5
     10321, 358.3125, -44.9939,1, 1.083, 1.116, 0.102,44.395, 0.009,95, 95,1,1.082,44.314,-0.007,  279.9, 3.10, 0.020,60592.070,     3,0.,0.,0.,0.,0.,0.
     10337,  54.6680, -27.6159,1, 0.683, 0.672, 0.009,43.040, 0.009,90, 90,1,0.682,43.078,-0.007,  -65.8, 0.00, 0.000,60197.590,    72,0.,0.,0.,0.,0.,0.
     10349,  34.9805,  -6.2793,1, 0.000, 0.000, 0.000,-9.000, 0.023,65, 65,1,0.000, 0.000, 0.000,    0.0, 0.00, 0.000,59570.000,    79,      6.5,     42.1,    113.2,    754.4,   1776.3,   3026.2
     10478,  52.9102, -27.9532,1, 0.555, 0.223, 0.200,40.225, 0.007,90, 90,1,0.558,42.545,-0.008, -514.6, 0.00, 0.000,60280.379,    52,0.,0.,0.,0.,0.,0.
     10586, 358.6364, -46.7685,1, 0.605, 0.602, 0.015,42.747, 0.008,88, 88,1,0.604,42.758, 0.000,    0.0, 0.00, 0.000,59570.000,    77,    131.6,    164.0,    160.8,    201.5,    209.5,    258.2
     10757,  52.9102, -26.2768,1, 0.170, 0.171, 0.019,39.580, 0.008,52, 52,1,0.171,39.571, 0.000, -400.0, 0.00, 0.000,59913.934,   103,0.,0.,0.,0.,0.,0.
     10796,  52.9102, -25.9445,1, 0.000, 0.000, 0.000,-9.000, 0.010,65, 65,1,0.000, 0.000, 0.000,    0.0, 0.00, 0.000,59570.000,    78,      1.0,      7.9,     27.3,    135.2,    295.9,    496.2
     10798, 351.3000, -62.3204,1, 0.178, 0.187, 0.012,39.796, 0.018,42, 42,2,0.178,39.671,-0.000,   33.6, 0.00, 0.000,60400.176,    32,0.,0.,0.,0.,0.,0.
     11165, 150.9961,   2.9855,1, 0.000, 0.000, 0.000,-9.000, 0.020,16, 16,1,0.000, 0.000, 0.000,    0.0, 0.00, 0.000,59570.000,   126,    189.5,   2386.7,   3037.7,   2459.6,   1679.9,    734.1
     11359, 349.9662, -62.6967,1, 0.153, 0.142, 0.007,39.128, 0.021,42, 42,2,0.150,39.272,-0.003,   82.1, 0.00, 0.000,59692.484,    39,0.,0.,0.,0.,0.,0.
     11507,  53.0859, -28.1222,1, 0.331, 0.509, 0.072,42.310, 0.007,90, 90,1,0.330,41.195,-0.017,   36.3, 0.00, 0.000,60222.020,     2,0.,0.,0.,0.,0.,0.
     11770, 346.1301, -63.0726,1, 0.142, 0.217, 0.435,40.156, 0.020,62, 62,2,0.143,39.146,-0.004,   59.9, 3.10, 0.671,60233.121,    14,0.,0.,0.,0.,0.,0.
     11773, 150.6445,   3.5833,1, 0.221, 0.528, 0.168,42.403, 0.018,52, 52,1,0.223,40.220,-0.007,  354.1, 0.00, 0.000,59896.086,    55,0.,0.,0.,0.,0.,0.
     11931, 149.5898,   3.5833,1, 0.000, 0.000, 0.000,-9.000, 0.024,65, 65,1,0.000, 0.000, 0.000,    0.0, 0.00, 0.000,59570.000,    74,      4.1,     32.5,    112.0,    556.1,   1218.7,   2045.5
     11978, 358.6481, -46.3751,1, 0.492, 0.460, 0.018,42.047, 0.009,90, 90,1,0.492,42.218, 0.015,  -11.8, 0.00, 0.000,60419.152,   117,0.,0.,0.,0.,0.,0.
     12695,  51.8555, -28.6310,1, 0.000, 0.000, 0.000,-9.000, 0.009,92, 92,1,0.000, 0.000, 0.000,    0.0, 0.00, 0.000,59570.000,    27,   1012.8,   6358.9,   7485.6,   7421.9,   7413.8,   7362.2
     12872, 347.8618, -61.9438,1, 0.000, 0.000, 0.000,-9.000, 0.017,65, 65,1,0.000, 0.000, 0.000,    0.0, 0.00, 0.000,59570.000,    84,      1.5,     11.8,     40.7,    202.0,    442.4,    742.2
     13079, 151.6992,   3.5833,1, 0.202, 2.447, 1.043,46.491, 0.016,90, 90,1,0.204,39.998,-0.003, -490.4, 0.00, 0.000,59941.234,    64,0.,0.,0.,0.,0.,0.
     13138, 346.6552, -63.2605,1, 0.076, 0.519, 0.216,42.360, 0.019,52, 52,1,0.074,37.633,-0.004,  184.2, 0.00, 0.000,59749.563,    17,0.,0.,0.,0.,0.,0.
     13194,  53.7891, -27.7844,1, 0.519, 0.562, 0.284,42.569, 0.009,90, 90,1,0.518,42.358, 0.015,  268.3, 0.00, 0.000,59865.430,    63,0.,0.,0.,0.,0.,0.
     13459, 150.1172,   2.8361,1, 0.349, 0.345, 0.656,41.307, 0.016,90, 90,1,0.351,41.349, 0.001,  -89.1, 0.00, 0.000,59997.621,   106,0.,0.,0.,0.,0.,0.
     13482,  33.7500,  -4.6305,1, 0.293, 0.312, 0.021,41.050, 0.019,90, 90,1,0.292,40.890,-0.002,  132.5, 0.00, 0.000,60136.734,    28,0.,0.,0.,0.,0.,0.
     13504,   1.3636, -46.7685,1, 0.447, 0.382, 0.077,41.564, 0.008,90, 90,1,0.446,41.964,-0.031, -154.1, 0.00, 0.000,59751.023,   113,0.,0.,0.,0.,0.,0.
     14080, 150.9961,   4.1815,1, 0.000, 0.000, 0.000,-9.000, 0.015,65, 65,1,0.000, 0.000, 0.000,    0.0, 0.00, 0.000,59570.000,    12,     22.0,    201.0,    590.3,   1804.6,   2931.6,   3666.7
     14156,  53.0859, -27.1119,1, 0.000, 0.000, 0.000,-9.000, 0.007,65, 65,1,0.000, 0.000, 0.000,    0.0, 0.00, 0.000,59570.000,    30,     80.6,    752.2,   2214.4,   6778.7,  11007.7,  13759.9
     14279,  54.6680, -27.6159,1, 0.343, 0.573, 0.452,42.617, 0.009,52, 52,1,0.341,41.282,-0.018,  108.7, 0.00, 0.000,59834.148,    72,0.,0.,0.,0.,0.,0.
     14398,   2.0711, -45.1916,1, 0.281, 0.263, 1.058,40.631, 0.011,90, 90,1,0.282,40.800, 0.002, -520.8, 0.00, 0.000,59716.184,    70,0.,0.,0.,0.,0.,0.
     14539, 150.6445,   3.5833,1, 0.288, 0.236, 0.043,40.359, 0.018,88, 88,1,0.290,40.865, 0.000,    0.0, 0.00, 0.000,59570.000,    55,    249.8,    257.8,    331.0,    393.1,    642.5,    603.1
     14553, 359.8052, -46.7685,1, 1.190, 1.167, 0.172,44.514, 0.011,95, 95,1,1.188,44.564, 0.018,  -80.6, 3.10, 0.091,60621.152,   119,0.,0.,0.,0.,0.,0.
     14601,  32.6953,  -4.9299,1, 0.384, 0.365, 0.200,41.453, 0.018,90, 90,1,0.383,41.575, 0.005,  318.7, 0.00, 0.000,60075.926,     4,0.,0.,0.,0.,0.,0.
     14674,  33.7500,  -4.6305,1, 0.201, 0.057, 0.418,37.017, 0.019,90, 90,1,0.200,39.951, 0.001, -397.7, 0.00, 0.000,59762.926,    28,0.,0.,0.,0.,0.,0.
     14983, 349.6154, -63.6360,1, 0.339, 0.324, 0.025,41.148, 0.018,90, 90,1,0.339,41.263,-0.004, -465.9, 0.00, 0.000,59897.305,    81,0.,0.,0.,0.,0.,0.
     15002, 349.0461, -61.9438,1, 0.341, 0.351, 0.053,41.353, 0.017,90, 90,1,0.341,41.280, 0.003, -277.1, 0.00, 0.000,60125.203,    69,0.,0.,0.,0.,0.,0.
     15251,  32.8711,  -4.7802,1, 0.465, 2.327, 0.610,46.359, 0.017,90, 90,1,0.465,42.074, 0.011,  105.5, 0.00, 0.000,60516.691,    31,0.,0.,0.,0.,0.,0.
     15475, 351.3830, -64.0112,1, 0.000, 0.000, 0.000,-9.000, 0.023,65, 65,1,0.000, 0.000, 0.000,    0.0, 0.00, 0.000,59570.000,   112,     20.7,    206.0,    588.0,   2158.4,   3716.1,   4763.8
     15626, 346.1301, -63.0726,1, 0.000, 0.000, 0.000,-9.000, 0.020,16, 16,1,0.000, 0.000, 0.000,    0.0, 0.00, 0.000,59570.000,    14,     54.6,    404.4,    353.3,    228.5,    136.4,     54.5
     15674,   0.9657, -46.3751,1, 0.293, 0.273, 0.329,40.717, 0.007,90, 90,1,0.293,40.897, 0.003, -228.5, 0.00, 0.000,60173.637,    96,0.,0.,0.,0.,0.,0.
     15700, 359.4156, -46.7685,1, 0.000, 0.000, 0.000,-9.000, 0.009,16, 16,1,0.000, 0.000, 0.000,    0.0, 0.00, 0.000,59570.000,    36,     23.0,    256.3,    298.7,    229.1,    151.2,     64.6
     15718,  51.8555, -27.9532,1, 0.119, 2.318, 0.767,46.348, 0.008,52, 52,1,0.122,38.771,-0.007, -643.4, 0.00, 0.000,60265.809,    35,0.,0.,0.,0.,0.,0.
     15845,  53.7891, -27.7844,1, 0.317, 0.347, 0.822,41.323, 0.009,90, 90,1,0.318,41.103,-0.008,  164.6, 0.00, 0.000,60618.465,    63,0.,0.,0.,0.,0.,0.
     15968, 149.4141,   2.2387,1, 0.351, 0.473, 0.454,42.116, 0.017,90, 90,1,0.354,41.369, 0.003,  322.5, 0.00, 0.000,59997.918,     0,0.,0.,0.,0.,0.,0.
     16339,  51.3281, -27.4476,1, 0.000, 0.000, 0.000,-9.000, 0.013,16, 16,1,0.000, 0.000, 0.000,    0.0, 0.00, 0.000,59570.000,   122,   2254.7,  20234.3,  20237.2,  14158.8,   8848.1,   3642.8
     16349, 150.8203,   3.1349,1, 0.000, 0.000, 0.000,-9.000, 0.016,16, 16,1,0.000, 0.000, 0.000,    0.0, 0.00, 0.000,59570.000,     5,    727.8,  11150.5,  16381.5,  14524.6,  10501.6,   4765.2
     16463, 151.6992,   3.5833,1, 0.202, 0.180, 0.025,39.708, 0.016,90, 90,1,0.203,39.993,-0.005,  498.2, 0.00, 0.000,60159.355,    64,0.,0.,0.,0.,0.,0.
     16496, 359.4156, -46.7685,1, 0.339, 0.389, 0.264,41.616, 0.009,52, 52,1,0.339,41.260,-0.005, -247.3, 0.00, 0.000,60248.957,    36,0.,0.,0.,0.,0.,0.
     16802,  53.4375, -29.1422,1, 0.314, 0.332, 0.023,41.209, 0.008,90, 90,1,0.314,41.066,-0.022, -331.7, 0.00, 0.000,60182.809,    71,0.,0.,0.,0.,0.,0.
     16983, 150.1172,   3.7328,1, 0.290, 0.276, 0.188,40.749, 0.020,90, 90,1,0.290,40.871,-0.003, -139.7, 0.00, 0.000,60089.418,    88,0.,0.,0.,0.,0.,0.
     17094,  52.2070, -28.2916,1, 0.000, 0.000, 0.000,-9.000, 0.007,16, 16,1,0.000, 0.000, 0.000,    0.0, 0.00, 0.000,59570.000,    87,   2122.5,  20014.1,  20918.7,  15087.0,   9608.9,   4007.2
     17172,  53.4375, -29.1422,1, 0.000, 0.000, 0.000,-9.000, 0.008,16, 16,1,0.000, 0.000, 0.000,    0.0, 0.00, 0.000,59570.000,    71,   1431.1,  16766.0,  20269.8,  15874.2,  10618.6,   4573.0
     17285, 148.7109,   2.8361,1, 0.307, 0.306, 0.048,41.002, 0.031,90, 90,1,0.308,41.021,-0.003,  258.7, 0.00, 0.000,60394.113,   111,0.,0.,0.,0.,0.,0.
     17366, 349.2857, -62.8847,1, 0.239, 0.202, 0.025,39.985, 0.018,90, 90,1,0.239,40.393,-0.003,  -43.3, 0.00, 0.000,60025.996,   100,0.,0.,0.,0.,0.,0.
     17370,   0.9494, -45.5867,1, 0.314, 0.339, 0.418,41.264, 0.013,62, 62,2,0.311,41.051, 0.003,  114.9, 3.10, 0.104,60521.094,    41,0.,0.,0.,0.,0.,0.
     17515,  52.2070, -28.6310,1, 0.358, 0.349, 0.007,41.334, 0.009,90, 90,1,0.358,41.400, 0.003, -259.9, 0.00, 0.000,60649.168,    18,0.,0.,0.,0.,0.,0.
     18029, 359.4156, -46.7685,1, 0.353, 0.361, 0.011,41.422, 0.009,90, 90,1,0.347,41.331,-0.009,  833.2, 0.00, 0.000,60214.441,    36,0.,0.,0.,0.,0.,0.
     18507, 352.7113, -63.8237,1, 0.375, 0.346, 0.023,41.313, 0.024,88, 88,1,0.375,41.520, 0.000,    0.0, 0.00, 0.000,59570.000,     1,    263.6,    266.4,    306.8,    353.3,    547.8,    527.0
     18556,  51.8555, -26.2768,1, 0.000, 0.000, 0.000,-9.000, 0.014, 6,  6,1,0.000, 0.000, 0.000,    0.0, 0.00, 0.000,60232.637,   110,    344.6,   1001.1,   1426.5,   1552.6,   1561.6,   1560.0
     18645, 358.6364, -46.7685,1, 0.164, 2.303, 1.102,46.331, 0.008,62, 62,1,0.164,39.479,-0.001,  278.1, 0.00, 0.000,60380.270,    77,0.,0.,0.,0.,0.,0.
     18706,  34.2773,  -5.6792,1, 0.171, 0.177, 0.016,39.656, 0.020,62, 62,2,0.169,39.551,-0.002,  128.7, 3.10, 0.066,59770.438,    90,0.,0.,0.,0.,0.,0.
     18937, 348.5959, -63.0726,1, 0.214, 0.222, 0.010,40.212, 0.021,90, 90,1,0.214,40.122,-0.004,  283.9, 0.00, 0.000,59827.297,    93,0.,0.,0.,0.,0.,0.
     18952, 151.6992,   3.5833,1, 0.280, 0.266, 1.194,40.654, 0.016,90, 90,1,0.281,40.793,-0.014,  -83.6, 0.00, 0.000,59866.336,    64,0.,0.,0.,0.,0.,0.
     19154, 351.3830, -64.0112,1, 0.235, 2.414, 0.502,46.455, 0.023,67, 67,1,0.234,40.337, 0.006,  141.9, 0.00, 0.000,60613.813,   112,0.,0.,0.,0.,0.,0.
     19213,   1.7532, -46.7685,1, 0.125, 0.148, 0.009,39.240, 0.014,62, 62,1,0.125,38.843, 0.001,  -48.4, 0.00, 0.000,60512.523,    22,0.,0.,0.,0.,0.,0.
     19866, 359.8148, -44.3998,1, 0.261, 0.288, 0.023,40.851, 0.009,90, 90,1,0.261,40.612,-0.002, -199.6, 0.00, 0.000,59815.918,   118,0.,0.,0.,0.,0.,0.
     20567, 351.2590, -64.3862,1, 0.155, 0.148, 0.221,39.235, 0.020,62, 62,1,0.154,39.325,-0.005,  157.8, 0.00, 0.000,60411.023,    54,0.,0.,0.,0.,0.,0.
     20934, 348.9084, -63.8237,1, 0.100, 2.570, 1.214,46.621, 0.018,42, 42,2,0.100,38.323,-0.003, -177.9, 0.00, 0.000,59751.559,    95,0.,0.,0.,0.,0.,0.
     21335,  33.5742,  -5.3794,1, 0.154, 0.208, 0.422,40.054, 0.017,90, 90,1,0.152,39.306,-0.004,   14.5, 0.00, 0.000,60425.609,     6,0.,0.,0.,0.,0.,0.
     22184, 358.3125, -44.9939,1, 0.351, 0.385, 0.606,41.587, 0.009,90, 90,1,0.352,41.359,-0.011,   61.9, 0.00, 0.000,59865.691,     3,0.,0.,0.,0.,0.,0.
     22574, 150.9961,   2.9855,1, 0.000, 0.000, 0.000,-9.000, 0.020,16, 16,1,0.000, 0.000, 0.000,    0.0, 0.00, 0.000,59570.000,   126,    686.7,  10721.8,  15924.6,  14205.4,  10308.8,   4689.6
     22901, 151.1719,   1.3430,1, 0.258, 0.250, 0.006,40.504, 0.026,90, 90,1,0.257,40.570,-0.004,  309.1, 0.00, 0.000,60084.152,    48,0.,0.,0.,0.,0.,0.
     23116,  53.2617, -27.6159,1, 0.824, 0.752, 0.030,43.338, 0.006,15, 15,1,0.823,43.579,-0.005,  187.5, 3.10, 0.442,59968.961,    42,0.,0.,0.,0.,0.,0.
     23127, 149.4141,   3.4338,1, 0.322, 0.402, 0.793,41.700, 0.027,52, 52,1,0.322,41.132,-0.001, -177.2, 0.00, 0.000,59599.121,   107,0.,0.,0.,0.,0.,0.
     23299,  33.2227,  -4.7802,1, 0.587, 0.540, 0.015,42.462, 0.018,88, 88,1,0.586,42.677, 0.000,    0.0, 0.00, 0.000,59570.000,    91,    145.1,    177.0,    171.6,    213.0,    223.3,    281.1
