Date,Temp,Temp Anomaly,Cooling days,Cooling Days Anomaly,Drought Index,Drought Anomaly,Precipitation,Precipitation Anomaly,Region
192107,72.1,-0.9,536,-11,2.66,2.13,3.12,1.25,Southwest
192207,73.3,0.3,548,1,-0.26,-0.79,1.5,-0.37,Southwest
192307,73.1,0.1,546,-1,1.28,0.75,2.16,0.29,Southwest
192407,72.0,-1.0,524,-23,-0.15,-0.68,1.77,-0.1,Southwest
192507,73.7,0.7,610,63,0.07,-0.46,2.29,0.42,Southwest
192607,71.5,-1.5,495,-52,0.21,-0.32,1.95,0.08,Southwest
192707,72.8,-0.2,532,-15,1.14,0.61,2.07,0.2,Southwest
192807,72.7,-0.3,552,5,-1.58,-2.11,1.53,-0.34,Southwest
192907,73.1,0.1,523,-24,0.77,0.24,2.67,0.8,Southwest
193007,72.6,-0.4,586,39,0.66,0.13,2.68,0.81,Southwest
193107,74.8,1.8,556,9,0.22,-0.31,1.71,-0.16,Southwest
193207,73.1,0.1,584,37,3.13,2.6,2.27,0.4,Southwest
193307,74.8,1.8,569,22,-0.19,-0.72,1.85,-0.02,Southwest
193407,75.7,2.7,625,78,-6.55,-7.08,1.05,-0.82,Southwest
193507,73.6,0.6,557,10,0.58,0.05,1.21,-0.66,Southwest
193607,74.2,1.2,548,1,0.04,-0.49,2.14,0.27,Southwest
193707,73.7,0.7,563,16,1.38,0.85,1.73,-0.14,Southwest
193807,71.7,-1.3,548,1,-0.02,-0.55,1.56,-0.31,Southwest
193907,73.9,0.9,590,43,-1.91,-2.44,1.32,-0.55,Southwest
194007,74.2,1.2,503,-44,-3.29,-3.82,1.14,-0.73,Southwest
194107,71.3,-1.7,528,-19,8.38,7.85,1.99,0.12,Southwest
194207,73.7,0.7,509,-38,6.69,6.16,1.26,-0.61,Southwest
194307,73.4,0.4,572,25,-2.35,-2.88,1.27,-0.6,Southwest
194407,71.8,-1.2,567,20,2.34,1.81,1.45,-0.42,Southwest
194507,72.9,-0.1,500,-47,0.69,0.16,1.73,-0.14,Southwest
194607,73.5,0.5,558,11,-3.49,-4.02,1.83,-0.04,Southwest
194707,73.7,0.7,528,-19,-1.81,-2.34,1.09,-0.78,Southwest
194807,72.9,-0.1,566,19,-0.26,-0.79,1.25,-0.62,Southwest
194907,72.6,-0.4,553,6,3.36,2.83,2.07,0.2,Southwest
195007,70.8,-2.2,479,-68,-2.01,-2.54,2.85,0.98,Southwest
195107,74.7,1.7,588,41,-4.04,-4.57,1.43,-0.44,Southwest
195207,72.4,-0.6,550,3,3.04,2.51,1.58,-0.29,Southwest
195307,74.4,1.4,557,10,-1.13,-1.66,2.39,0.52,Southwest
195407,75.0,2.0,650,103,-4.54,-5.07,1.91,0.04,Southwest
195507,72.0,-1.0,555,8,-3.22,-3.75,2.2,0.33,Southwest
195607,72.4,-0.6,597,50,-4.83,-5.36,1.65,-0.22,Southwest
195707,73.4,0.4,604,57,2.78,2.25,2.15,0.28,Southwest
195807,72.7,-0.3,560,13,3.44,2.91,1.45,-0.42,Southwest
195907,73.8,0.8,492,-55,-3.67,-4.2,1.43,-0.44,Southwest
196007,73.4,0.4,541,-6,-1.74,-2.27,1.75,-0.12,Southwest
196107,73.3,0.3,471,-76,-2.74,-3.27,1.74,-0.13,Southwest
196207,71.8,-1.2,565,18,-0.32,-0.85,1.86,-0.01,Southwest
196307,75.0,2.0,576,29,-4.56,-5.09,1.09,-0.78,Southwest
196407,74.9,1.9,587,40,-3.23,-3.76,1.57,-0.3,Southwest
196507,72.4,-0.6,562,15,3.91,3.38,2.43,0.56,Southwest
196607,74.9,1.9,584,37,-1.23,-1.76,1.8,-0.07,Southwest
196707,73.4,0.4,494,-53,0.69,0.16,2.35,0.48,Southwest
196807,71.8,-1.2,473,-74,1.34,0.81,2.52,0.65,Southwest
196907,74.0,1.0,623,76,1.56,1.03,2.04,0.17,Southwest
197007,73.6,0.6,519,-28,-0.33,-0.86,1.9,0.03,Southwest
197107,73.7,0.7,542,-5,-3.25,-3.78,1.62,-0.25,Southwest
197207,73.3,0.3,476,-71,-4.05,-4.58,1.43,-0.44,Southwest
197307,71.9,-1.1,518,-29,6.85,6.32,2.09,0.22,Southwest
197407,72.7,-0.3,544,-3,-3.41,-3.94,1.92,0.05,Southwest
197507,72.2,-0.8,483,-64,2.17,1.64,2.28,0.41,Southwest
197607,72.8,-0.2,449,-98,-1.4,-1.93,2.06,0.19,Southwest
197707,73.6,0.6,572,25,-3.74,-4.27,2.21,0.34,Southwest
197807,74.2,1.2,617,70,-0.69,-1.22,0.99,-0.88,Southwest
197907,73.1,0.1,520,-27,5.75,5.22,1.35,-0.52,Southwest
198007,75.2,2.2,661,114,-0.35,-0.88,1.08,-0.79,Southwest
198107,74.0,1.0,561,14,-3.05,-3.58,2.26,0.39,Southwest
198207,72.4,-0.6,557,10,0.07,-0.46,1.89,0.02,Southwest
198307,72.8,-0.2,526,-21,5.45,4.92,1.68,-0.19,Southwest
198407,72.8,-0.2,526,-21,4.43,3.9,2.39,0.52,Southwest
198507,73.5,0.5,512,-35,6.07,5.54,2.32,0.45,Southwest
198607,71.4,-1.6,586,39,2.68,2.15,2.11,0.24,Southwest
198707,71.7,-1.3,503,-44,3.18,2.65,1.36,-0.51,Southwest
198807,73.8,0.8,529,-18,2.0,1.47,1.79,-0.08,Southwest
198907,74.7,1.7,497,-50,-3.61,-4.14,1.77,-0.1,Southwest
199007,72.4,-0.6,494,-53,0.53,0.0,2.67,0.8,Southwest
199107,72.3,-0.7,529,-18,0.6,0.07,2.18,0.31,Southwest
199207,71.1,-1.9,519,-28,3.43,2.9,1.96,0.09,Southwest
199307,71.9,-1.1,577,30,4.63,4.1,1.03,-0.84,Southwest
199407,74.5,1.5,531,-16,-2.67,-3.2,1.07,-0.8,Southwest
199507,72.4,-0.6,553,6,4.04,3.51,1.14,-0.73,Southwest
199607,74.8,1.8,572,25,-4.06,-4.59,2.04,0.17,Southwest
199707,72.6,-0.4,562,15,0.61,0.08,1.7,-0.17,Southwest
199807,74.7,1.7,667,120,3.19,2.66,2.87,1.0,Southwest
199907,72.8,-0.2,538,-9,1.77,1.24,2.77,0.9,Southwest
200007,75.2,2.2,580,33,-5.41,-5.94,1.1,-0.77,Southwest
200107,74.8,1.8,603,56,-1.49,-2.02,1.7,-0.17,Southwest
200207,75.9,2.9,518,-29,-7.3,-7.83,1.38,-0.49,Southwest
200307,77.7,4.7,539,-8,-5.57,-6.1,0.89,-0.98,Southwest
200407,72.8,-0.2,496,-51,-3.64,-4.17,1.72,-0.15,Southwest
200507,75.8,2.8,549,2,-0.38,-0.91,0.9,-0.97,Southwest
200607,75.5,2.5,568,21,-4.6,-5.13,2.57,0.7,Southwest
200707,75.3,2.3,458,-89,-3.26,-3.79,1.95,0.08,Southwest
200807,74.0,1.0,548,1,-1.29,-1.82,2.25,0.38,Southwest
200907,74.7,1.7,584,37,-2.44,-2.97,1.73,-0.14,Southwest
201007,74.4,1.4,552,5,1.73,1.2,2.37,0.5,Southwest
201107,75.2,2.2,681,134,-2.21,-2.74,1.93,0.06,Southwest
201207,74.7,1.7,589,42,-5.64,-6.17,2.08,0.21,Southwest
201307,74.4,1.4,518,-29,-5.11,-5.64,2.62,0.75,Southwest
201407,74.8,1.8,501,-46,-4.42,-4.95,2.32,0.45,Southwest
201507,72.4,-0.6,585,38,1.37,0.84,2.45,0.58,Southwest
201607,75.8,2.8,618,71,-2.7,-3.23,1.26,-0.61,Southwest
201707,75.3,2.3,581,34,0.43,-0.1,2.57,0.7,Southwest
201807,76.0,3.0,606,59,-6.4,-6.93,2.09,0.22,Southwest
201907,75.2,2.2,547,0,-0.2,-0.73,1.22,-0.65,Southwest
202007,75.9,2.9,601,54,-2.67,-3.2,1.36,-0.51,Southwest
202107,75.2,2.2,513,-34,-4.83,-5.36,2.73,0.86,Southwest
202207,76.2,3.2,678,131,-5.52,-6.05,2.18,0.31,Southwest
189507,67.3,-2.5,115,-100,-1.86,-2.12,2.71,-0.86,Midwest
189607,68.7,-1.1,220,5,1.2,0.94,3.61,0.04,Midwest
189707,71.7,1.9,235,20,2.85,2.59,4.81,1.24,Midwest
189807,69.6,-0.2,256,41,-1.77,-2.03,2.59,-0.98,Midwest
189907,69.1,-0.7,203,-12,1.48,1.22,3.45,-0.12,Midwest
190007,68.1,-1.7,251,36,1.34,1.08,5.88,2.31,Midwest
190107,74.6,4.8,307,92,-1.48,-1.74,3.62,0.05,Midwest
190207,69.5,-0.3,177,-38,2.74,2.48,5.83,2.26,Midwest
190307,67.9,-1.9,182,-33,3.42,3.16,5.01,1.44,Midwest
190407,66.2,-3.6,160,-55,2.78,2.52,3.61,0.04,Midwest
190507,67.1,-2.7,221,6,3.56,3.3,4.0,0.43,Midwest
190607,67.6,-2.2,188,-27,1.87,1.61,2.75,-0.82,Midwest
190707,68.3,-1.5,186,-29,2.24,1.98,4.28,0.71,Midwest
190807,69.4,-0.4,255,40,0.03,-0.23,3.29,-0.28,Midwest
190907,68.4,-1.4,146,-69,1.46,1.2,3.81,0.24,Midwest
191007,70.6,0.8,234,19,-4.6,-4.86,2.07,-1.5,Midwest
191107,69.6,-0.2,262,47,-5.8,-6.06,3.22,-0.35,Midwest
191207,69.0,-0.8,198,-17,0.6,0.34,4.52,0.95,Midwest
191307,68.8,-1.0,206,-9,-0.04,-0.3,4.41,0.84,Midwest
191407,71.6,1.8,147,-68,-0.43,-0.69,2.76,-0.81,Midwest
191507,65.1,-4.7,166,-49,2.72,2.46,4.73,1.16,Midwest
191607,75.3,5.5,244,29,-1.14,-1.4,1.97,-1.6,Midwest
191707,69.9,0.1,207,-8,-0.3,-0.56,2.81,-0.76,Midwest
191807,67.9,-1.9,163,-52,-0.89,-1.15,2.82,-0.75,Midwest
191907,71.7,1.9,211,-4,0.25,-0.01,3.72,0.15,Midwest
192007,67.1,-2.7,142,-73,1.58,1.32,3.2,-0.37,Midwest
192107,74.8,5.0,300,85,-2.25,-2.51,3.31,-0.26,Midwest
192207,67.3,-2.5,184,-31,-0.51,-0.77,3.95,0.38,Midwest
192307,71.5,1.7,152,-63,-2.37,-2.63,2.88,-0.69,Midwest
192407,66.1,-3.7,159,-56,1.13,0.87,3.41,-0.16,Midwest
192507,68.2,-1.6,156,-59,0.78,0.52,3.25,-0.32,Midwest
192607,69.3,-0.5,187,-28,0.06,-0.2,3.21,-0.36,Midwest
192707,67.2,-2.6,177,-38,-0.54,-0.8,3.04,-0.53,Midwest
192807,69.2,-0.6,218,3,0.89,0.63,3.91,0.34,Midwest
192907,69.8,0.0,183,-32,-0.79,-1.05,3.02,-0.55,Midwest
193007,71.4,1.6,213,-2,-1.93,-2.19,2.02,-1.55,Midwest
193107,72.7,2.9,283,68,-5.88,-6.14,2.23,-1.34,Midwest
193207,70.6,0.8,188,-27,-1.23,-1.49,3.19,-0.38,Midwest
193307,72.1,2.3,211,-4,-2.54,-2.8,2.7,-0.87,Midwest
193407,72.1,2.3,268,53,-7.45,-7.71,2.65,-0.92,Midwest
193507,74.5,4.7,276,61,1.33,1.07,3.66,0.09,Midwest
193607,75.9,6.1,220,5,-4.12,-4.38,0.85,-2.72,Midwest
193707,71.5,1.7,220,5,-2.62,-2.88,3.1,-0.47,Midwest
193807,70.4,0.6,225,10,1.86,1.6,3.71,0.14,Midwest
193907,71.2,1.4,192,-23,-1.36,-1.62,2.26,-1.31,Midwest
194007,71.1,1.3,202,-13,0.05,-0.21,3.08,-0.49,Midwest
194107,71.1,1.3,220,5,-1.56,-1.82,2.38,-1.19,Midwest
194207,68.7,-1.1,210,-5,2.21,1.95,4.02,0.45,Midwest
194307,71.4,1.6,220,5,3.03,2.77,3.47,-0.1,Midwest
194407,68.6,-1.2,249,34,1.85,1.59,3.37,-0.2,Midwest
194507,67.3,-2.5,191,-24,2.26,2.0,3.29,-0.28,Midwest
194607,69.7,-0.1,184,-31,-0.76,-1.02,2.05,-1.52,Midwest
194707,69.0,-0.8,191,-24,-0.62,-0.88,2.21,-1.36,Midwest
194807,70.5,0.7,221,6,-2.06,-2.32,3.46,-0.11,Midwest
194907,71.7,1.9,319,104,-1.56,-1.82,4.92,1.35,Midwest
195007,66.3,-3.5,167,-48,2.54,2.28,4.31,0.74,Midwest
195107,68.1,-1.7,211,-4,2.77,2.51,4.07,0.5,Midwest
195207,70.5,0.7,300,85,2.95,2.69,5.2,1.63,Midwest
195307,69.6,-0.2,227,12,1.83,1.57,3.82,0.25,Midwest
195407,70.3,0.5,195,-20,1.3,1.04,2.76,-0.81,Midwest
195507,74.7,4.9,351,136,-1.35,-1.61,4.36,0.79,Midwest
195607,66.7,-3.1,145,-70,-2.6,-2.86,4.04,0.47,Midwest
195707,72.0,2.2,211,-4,1.22,0.96,3.88,0.31,Midwest
195807,67.0,-2.8,233,18,-1.09,-1.35,4.62,1.05,Midwest
195907,69.4,-0.4,234,19,-0.79,-1.05,3.1,-0.47,Midwest
196007,68.4,-1.4,156,-59,2.21,1.95,2.89,-0.68,Midwest
196107,68.7,-1.1,214,-1,-0.45,-0.71,4.16,0.59,Midwest
196207,66.6,-3.2,139,-76,1.97,1.71,4.63,1.06,Midwest
196307,70.6,0.8,212,-3,-1.22,-1.48,4.05,0.48,Midwest
196407,71.9,2.1,232,17,-0.65,-0.91,3.32,-0.25,Midwest
196507,67.5,-2.3,165,-50,1.37,1.11,3.25,-0.32,Midwest
196607,72.4,2.6,265,50,-0.95,-1.21,3.18,-0.39,Midwest
196707,67.2,-2.6,194,-21,-0.6,-0.86,2.07,-1.5,Midwest
196807,68.4,-1.4,238,23,2.34,2.08,4.13,0.56,Midwest
196907,69.1,-0.7,185,-30,3.54,3.28,4.45,0.88,Midwest
197007,71.1,1.3,221,6,-0.57,-0.83,3.7,0.13,Midwest
197107,66.2,-3.6,189,-26,-0.75,-1.01,3.38,-0.19,Midwest
197207,67.5,-2.3,226,11,1.27,1.01,5.31,1.74,Midwest
197307,69.6,-0.2,238,23,3.24,2.98,3.84,0.27,Midwest
197407,72.2,2.4,209,-6,-0.6,-0.86,2.57,-1.0,Midwest
197507,71.4,1.6,229,14,-0.85,-1.11,2.08,-1.49,Midwest
197607,70.6,0.8,158,-57,-1.86,-2.12,2.44,-1.13,Midwest
197707,71.8,2.0,240,25,0.01,-0.25,3.93,0.36,Midwest
197807,68.3,-1.5,171,-44,2.54,2.28,5.22,1.65,Midwest
197907,69.0,-0.8,205,-10,3.16,2.9,3.62,0.05,Midwest
198007,71.3,1.5,254,39,-2.01,-2.27,2.92,-0.65,Midwest
198107,69.6,-0.2,242,27,0.8,0.54,3.63,0.06,Midwest
198207,70.4,0.6,219,4,2.36,2.1,5.01,1.44,Midwest
198307,73.6,3.8,265,50,2.87,2.61,3.2,-0.37,Midwest
198407,68.7,-1.1,178,-37,2.48,2.22,2.93,-0.64,Midwest
198507,68.6,-1.2,200,-15,1.26,1.0,3.1,-0.47,Midwest
198607,71.0,1.2,219,4,3.19,2.93,4.88,1.31,Midwest
198707,72.6,2.8,278,63,-2.64,-2.9,4.92,1.35,Midwest
198807,72.9,3.1,302,87,-5.59,-5.85,2.51,-1.06,Midwest
198907,71.7,1.9,205,-10,-3.02,-3.28,2.61,-0.96,Midwest
199007,68.6,-1.2,225,10,2.37,2.11,3.89,0.32,Midwest
199107,69.6,-0.2,252,37,2.25,1.99,4.07,0.5,Midwest
199207,63.8,-6.0,168,-47,1.36,1.1,5.33,1.76,Midwest
199307,68.4,-1.4,280,65,5.9,5.64,6.12,2.55,Midwest
199407,67.6,-2.2,296,81,2.61,2.35,4.46,0.89,Midwest
199507,70.2,0.4,284,69,1.22,0.96,4.19,0.62,Midwest
199607,66.8,-3.0,163,-52,2.23,1.97,3.58,0.01,Midwest
199707,69.0,-0.8,210,-5,0.52,0.26,4.09,0.52,Midwest
199807,70.1,0.3,222,7,-0.47,-0.73,2.56,-1.01,Midwest
199907,72.9,3.1,340,125,2.53,2.27,5.8,2.23,Midwest
200007,68.6,-1.2,135,-80,1.5,1.24,3.9,0.33,Midwest
200107,70.9,1.1,148,-67,-0.4,-0.66,2.84,-0.73,Midwest
200207,73.3,3.5,287,72,1.31,1.05,4.11,0.54,Midwest
200307,69.4,-0.4,227,12,0.57,0.31,3.45,-0.12,Midwest
200407,67.5,-2.3,194,-21,2.19,1.93,3.78,0.21,Midwest
200507,71.5,1.7,287,72,-0.94,-1.2,3.1,-0.47,Midwest
200607,73.3,3.5,301,86,-1.72,-1.98,3.02,-0.55,Midwest
200707,70.4,0.6,202,-13,-1.55,-1.81,2.61,-0.96,Midwest
200807,69.6,-0.2,267,52,3.73,3.47,4.02,0.45,Midwest
200907,64.7,-5.1,154,-61,1.88,1.62,2.94,-0.63,Midwest
201007,71.8,2.0,339,124,3.0,2.74,5.99,2.42,Midwest
201107,74.0,4.2,339,124,3.6,3.34,3.99,0.42,Midwest
201207,75.4,5.6,331,116,-2.26,-2.52,2.86,-0.71,Midwest
201307,69.7,-0.1,326,111,3.01,2.75,2.68,-0.89,Midwest
201407,66.5,-3.3,219,4,2.89,2.63,2.9,-0.67,Midwest
201507,69.4,-0.4,250,35,2.09,1.83,3.88,0.31,Midwest
201607,70.5,0.7,310,95,3.04,2.78,5.36,1.79,Midwest
201707,70.2,0.4,251,36,3.39,3.13,3.13,-0.44,Midwest
201807,70.6,0.8,287,72,2.42,2.16,3.46,-0.11,Midwest
201907,71.8,2.0,325,110,5.27,5.01,4.13,0.56,Midwest
202007,72.6,2.8,363,148,4.01,3.75,4.38,0.81,Midwest
202107,70.7,0.9,248,33,-1.83,-2.09,3.39,-0.18,Midwest
202207,70.5,0.7,308,93,-0.88,-1.14,3.21,-0.36,Midwest
